canton,tenencia,fuente_agua,inodoro
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Pozo,Pozo séptico
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,arrendada,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Pozo séptico
Loja,propia,Vertiente / manantial,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Río / acequia / canal,Sin inodoro
Loja,propia,Red pública,Pozo séptico
Loja,arrendada,Pozo,Pozo séptico
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Pozo séptico
Loja,propia,Red pública,Red pública de alcantarillado
Loja,arrendada,Vertiente / manantial,Pozo séptico
Loja,propia,Red pública,Pozo séptico
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,arrendada,Red pública,Red pública de alcantarillado
Loja,arrendada,Vertiente / manantial,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Vertiente / manantial,Red pública de alcantarillado
Loja,propia,Red pública,Pozo séptico
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Vertiente / manantial,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Vertiente / manantial,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,arrendada,Otro,Pozo séptico
Loja,arrendada,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Pozo séptico
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Pozo séptico
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Vertiente / manantial,Red pública de alcantarillado
Loja,propia,Red pública,Pozo séptico
Calvas,otro,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Vertiente / manantial,Pozo séptico
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,otro,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Vertiente / manantial,Red pública de alcantarillado
Calvas,otro,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Pozo séptico
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,otro,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Pozo séptico
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Pozo,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,otro,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Pozo séptico
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Pozo séptico
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Vertiente / manantial,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Otro,Pozo séptico
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Río / acequia / canal,Pozo séptico
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Vertiente / manantial,Pozo séptico
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Vertiente / manantial,Pozo ciego
Calvas,propia,Vertiente / manantial,Pozo ciego
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Vertiente / manantial,Pozo séptico
Calvas,propia,Vertiente / manantial,Pozo séptico
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Pozo séptico
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,otro,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Vertiente / manantial,Pozo séptico
Calvas,propia,Red pública,Pozo séptico
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Pozo séptico
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Red pública de alcantarillado
Calvas,arrendada,Red pública,Red pública de alcantarillado
Calvas,propia,Red pública,Pozo séptico
Calvas,arrendada,Red pública,Red pública de alcantarillado
